,date,open,high,low,close,volume,ticker,day,vix,turbulence,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,neg_title,neu_title,pos_title,compound_title,neg_body,neu_body,pos_body,compound_body,aapl,fear greed
62,2018-12-18,-0.00042304059667996885,-0.0048708482001155184,0.01020096912488544,0.012992611607035354,-0.23587481004969757,aapl,0.25,0.25579999923706054,0.09680105662118331,-12234.387824649544,3471.3004470214773,3008.228097234476,0.3723383785386807,-0.38410970751298423,0.486032405914644,3391.9607976176776,3745.1560007294843,0.1095,0.8905000000000001,0.0,-0.21075,0.025,0.8714999999999999,0.104,0.9102,0.425,0.08
63,2018-12-19,0.0037489121954423776,-0.0004775373463714594,-0.032240422601349294,-0.031191679434868558,0.44932405478480564,aapl,0.5,0.25579999923706054,0.061034825711355184,-2162.1401033398506,-1435.9791260565496,-1243.6344686176853,0.3541923761500837,-0.4487223257139422,0.5436134585169355,-1402.5448707295027,-1552.3635885544493,0.0,1.0,0.0,0.0,0.04275,0.86425,0.09325,0.981325,0.43,0.08
64,2018-12-20,-0.0337349765272027,-0.03189009516399799,-0.023822951620938282,-0.025234185395718534,0.32062315356808635,aapl,0.75,0.283799991607666,0.07756048907535479,-3436.177706752562,-1781.4992981879166,-1511.4130152188047,0.34072870394771565,-0.5406855683998789,0.5796146941211827,-1718.8884725798052,-1908.5336764466574,0.0,0.8805000000000001,0.1195,0.20031666666666667,0.0415,0.8816666666666667,0.07683333333333334,0.5027,0.4316666666666666,0.05
65,2018-12-21,-0.022069784419177396,-0.024366152201408142,-0.036509968174666674,-0.038896324138982474,0.47815602179920647,aapl,1.0,0.3011000061035156,0.18149676472753024,-1551.324058281644,-1163.7544152122655,-956.3294915805616,0.3217203020341222,-0.6524485340024441,0.6267062914703333,-1103.005827991082,-1231.022912711776,0.0,1.0,0.0,0.0,0.015,0.886,0.099,0.976,0.45125,0.03
66,2018-12-24,-0.05552726431197286,-0.04179312378161715,-0.020316837838124435,-0.025873763255991666,-0.6117880277321124,aapl,0.0,0.3606999969482422,0.09684253866629398,-3764.5126887905344,-1765.622591580992,-1397.7078208521061,0.31027243406401467,-0.7319060985062867,0.649226784798359,-1638.9351494592358,-1838.5535151947454,0.0865,0.7655000000000001,0.14800000000000002,-0.012200000000000003,0.032,0.9025,0.0655,0.72115,0.40375,0.02
67,2018-12-27,0.051906869782117226,0.03444408522328013,0.023739757645580895,0.06347453240585588,0.4290622343230417,aapl,0.75,0.29959999084472655,0.04712611100474859,-582.4819783037207,716.6963858939654,559.2025205995137,0.3682597731453343,-0.520305968099903,0.4718752689223956,657.2255825523878,740.6625058223071,0.0,1.0,0.0,0.0,0.0625,0.8685,0.069,-0.10820000000000002,0.43,0.08
68,2018-12-28,0.01065197446816013,0.011162849730861568,0.02985270546339258,0.0005126575129863475,-0.20380818982964055,aapl,1.0,0.2834000015258789,0.015085556743559957,-8581544.376676993,87926.26168778216,68882.18996199114,0.36872064710572816,-0.4320327672575844,0.41818386854986,80807.65289847009,91136.38141905739,0.0,0.7203333333333334,0.2796666666666667,0.41273333333333334,0.05366666666666667,0.8236666666666667,0.12266666666666666,0.9793,0.3904166666666666,0.12
69,2018-12-31,0.0065396747891866,0.005298992652352341,0.01248782036668672,0.009665084050306083,-0.17232581565046323,aapl,0.0,0.25420000076293947,0.027018082674478555,-22789.761361395656,4618.398161084435,3644.4542791433364,0.37758099223153524,-0.36668961478235745,0.39212738884911424,4261.960223174382,4803.390272248321,0.0,1.0,0.0,0.0,0.015,0.889,0.096,0.9524,0.4316666666666666,0.12
70,2019-01-02,-0.022960950089427445,-0.003200266722406142,-0.01437883474842161,0.001141077894952991,0.0581713257245704,aapl,0.5,0.2321999931335449,0.08746107300211033,-1537589.3464908584,38715.72440588171,30833.540678315003,0.3786563949704651,-0.36635953943416044,0.4225080988570839,35862.597522226024,40440.4624365344,0.09011111111111111,0.8742222222222222,0.035666666666666666,-0.043588888888888885,0.042555555555555555,0.8835555555555555,0.07366666666666667,0.5008888888888889,0.4691666666666665,0.12
71,2019-01-03,-0.07043710830331706,-0.08265662183390943,-0.0792971280965632,-0.0996072558902883,1.4652521483705323,aapl,0.75,0.2545000076293945,0.10554276318715468,-220.0789717540749,-437.6035414879948,-348.778483809572,0.32750062293566046,-0.7117857054175796,0.5524697505056733,-406.67542686775727,-459.98341731491536,0.0,0.783,0.217,0.3612,0.034,0.892,0.074,0.9918,0.52,0.1
72,2019-01-04,0.003819996305588269,0.019420819430055136,0.012676077829280263,0.042689197766310416,-0.3581679118452956,aapl,1.0,0.21379999160766602,0.05834447518895864,-1198.2562964681847,1010.4344981705927,808.3221813375759,0.36191276184380894,-0.5589754814816495,0.47060633440205457,941.7951364686515,1066.2235928961893,0.13266666666666668,0.7166666666666667,0.15066666666666667,0.03880000000000002,0.04533333333333334,0.9086666666666666,0.04566666666666667,0.030033333333333346,0.4941666666666666,0.16
73,2019-01-07,0.028852128998583026,0.0018848789871739324,0.014603552156884803,-0.00222598884230929,-0.06533849994283969,aapl,0.0,0.21399999618530277,0.05351633688980824,-436980.43735447567,-19176.292036514278,-15411.870655002547,0.3608741371112342,-0.4910028043396413,0.46245026449679416,-17956.1156065217,-20306.02314363326,0.0,0.8795,0.1205,0.27115,0.023,0.9015,0.0755,0.63745,0.4479166666666666,0.19
74,2019-01-08,0.005783460847352373,0.020090072272915593,0.017957577008779646,0.019063003194125905,-0.25105973587840325,aapl,0.25,0.2046999931335449,0.05873355200649175,-5700.914218411059,2225.1800972826004,1791.1598760063057,0.3766860847375731,-0.3800773461983805,0.3753768148851789,2085.7212769067028,2357.4121664802806,0.16433333333333333,0.8356666666666667,0.0,-0.25943333333333335,0.07333333333333333,0.8373333333333334,0.08933333333333333,0.33373333333333327,0.4425,0.22
75,2019-01-10,0.019657679121413585,0.014161466162315284,0.01575542870035118,0.02023255371429533,-0.12783818765493493,aapl,0.75,0.195,0.05217383115118184,-4346.639943833339,2058.949615586649,1687.9972954283346,0.3935658177764663,-0.26931946966815773,0.30036502045503044,1949.285242663293,2195.634815638392,0.10975,0.784,0.10625,-0.10802500000000001,0.03825,0.86275,0.09875,0.342325,0.4270833333333333,0.31
